"","x"
"1","0089890-230224095556074"
"2","10.15468/dl.7s739k"
"3","http://creativecommons.org/licenses/by-nc/4.0/legalcode"
"4","list(predicate = list(type = ""and"", predicates = list(list(type = ""in"", key = ""TAXON_KEY"", values = list(""8721209"", ""9442269"", ""8930656"", ""2227300"", ""2227289"", ""4417558"", ""8979506"", ""8971201"", ""2869311"", ""5384931"", ""5328593"", ""2703231"", ""2891770"", ""3628745"", ""5329260"", ""5361785"", ""2766030"", ""3088310"", ""5361762"", ""3034825"", ""5421039"", ""5384932"", ""2882443"", ""5420991"", ""5362054"", ""2865565"", ""3642949"", ""7346102"", ""8848208"", ""3034613""), matchCase = FALSE), list(type = ""in"", key = ""COUNTRY"", values = list(
    ""BE""), matchCase = FALSE), list(type = ""equals"", key = ""HAS_COORDINATE"", value = ""true"", matchCase = FALSE), list(type = ""greaterThanOrEquals"", key = ""YEAR"", value = ""2000"", matchCase = FALSE))), sendNotification = FALSE, format = ""DWCA"", type = ""OCCURRENCE"", verbatimExtensions = list())"
"5","2023-03-14T13:57:24.699+00:00"
"6","2023-03-14T13:59:30.487+00:00"
"7","2023-09-14T13:57:24.625+00:00"
"8","SUCCEEDED"
"9","https://api.gbif.org/v1/occurrence/download/request/0089890-230224095556074.zip"
"10","9883385"
"11","71217"
"12","44"
